txn_id,sender_acc,receiver_acc,amount,timestamp,txn_type,location,device_id,status
TXN001,ACC1001,ACC2001,5000,2026-05-22 22:11:00,UPI,Kolkata,DEV001,SUCCESS
TXN002,ACC1001,ACC9001,7000,2026-05-22 22:12:00,UPI,Kolkata,DEV001,SUCCESS
TXN003,ACC1002,ACC2001,120000,2026-05-22 02:15:00,IMPS,Delhi,DEV008,SUCCESS
TXN004,ACC1001,ACC9001,4500,2026-05-22 22:13:00,UPI,Kolkata,DEV001,SUCCESS
TXN005,ACC1003,ACC5001,300000,2026-05-22 03:40:00,NEFT,Mumbai,DEV020,SUCCESS
TXN006,ACC1001,ACC9001,4900,2026-05-22 22:14:00,UPI,Kolkata,DEV001,SUCCESS
TXN007,ACC1001,ACC9001,5100,2026-05-22 22:15:00,UPI,Kolkata,DEV001,SUCCESS
TXN008,ACC1004,ACC2001,15000,2026-05-22 10:05:00,IMPS,Chennai,DEV031,SUCCESS
TXN009,ACC1005,ACC2001,18000,2026-05-22 10:10:00,UPI,Bangalore,DEV044,SUCCESS
TXN010,ACC1006,ACC9001,5200,2026-05-22 22:16:00,UPI,Kolkata,DEV001,SUCCESS
TXN011,ACC1001,ACC9001,25000,2026-05-23 00:32:00,UPI,Kolkata,DEV001,SUCCESS
TXN012,ACC1001,ACC9001,27000,2026-05-23 01:05:00,UPI,Kolkata,DEV001,SUCCESS
TXN013,ACC1001,ACC2001,30000,2026-05-23 01:47:00,IMPS,Kolkata,DEV001,SUCCESS
TXN014,ACC1002,ACC2001,95000,2026-05-23 02:10:00,IMPS,Delhi,DEV008,SUCCESS
TXN015,ACC1003,ACC5001,175000,2026-05-23 03:05:00,NEFT,Mumbai,DEV020,SUCCESS
TXN016,ACC1001,ACC9001,22000,2026-05-23 03:18:00,UPI,Kolkata,DEV001,SUCCESS
TXN017,ACC1006,ACC9001,12000,2026-05-23 03:41:00,UPI,Kolkata,DEV001,SUCCESS
TXN018,ACC1001,ACC2001,28000,2026-05-23 03:55:00,IMPS,Kolkata,DEV001,SUCCESS
